feature,importance
num__airline_delay_rate_prev_3h,0.17862699622494096
num__airline_origin_delay_rate_prev_3h,0.16969117364558392
num__airline_delay_count_prev_3h,0.11226063365937212
num__airline_origin_delay_count_prev_3h,0.11098266575805307
num__dep_hour,0.05740740544787691
cat__time_of_day_bin_morning,0.04527710942948986
num__airline_delay_rate,0.0428335655083741
num__route_delay_rate,0.030377431640146876
cat__time_of_day_bin_evening,0.026391952009907835
num__origin_delay_rate,0.01912820428132559
cat__Reporting_Airline_WN,0.015861629041646362
num__airline_origin_flight_count_prev_3h,0.013074233799104261
num__airline_flight_count_prev_3h,0.011483536699560782
num__alti,0.011283893529637745
num__p01i,0.011148864560642412
num__tmpf,0.010994205520094625
num__sknt,0.008583613709277982
cat__Reporting_Airline_B6,0.008279646468870689
num__relh,0.007477398390772939
num__vsby,0.006626876597662148
num__DayOfWeek,0.0061527520989684776
cat__Reporting_Airline_DL,0.005269273864474602
cat__time_of_day_bin_night,0.005172408171350106
cat__Origin_DEN,0.0051287634663147634
cat__Reporting_Airline_F9,0.004892420858216579
cat__time_of_day_bin_afternoon,0.0047053876571509345
cat__Reporting_Airline_OO,0.004564955627481571
cat__time_of_day_bin_overnight,0.004548674878096695
cat__Reporting_Airline_MQ,0.004248542794138466
cat__Reporting_Airline_9E,0.0031284389609292397
num__weather_report_age_minutes,0.0027629455384546534
cat__Reporting_Airline_AA,0.0024035592500300093
cat__Origin_MCO,0.0022514332143005514
cat__Origin_EWR,0.002157038291086542
cat__Origin_LAS,0.002086969069885478
cat__Origin_SEA,0.0019707307465165556
cat__Origin_ATL,0.0017536800118221146
cat__Reporting_Airline_YX,0.0016861994542986048
cat__Origin_DTW,0.0016351674823912212
num__is_weekend,0.001532167142587164
cat__Origin_LAX,0.0014897640021916713
cat__Reporting_Airline_NK,0.0013508016728045686
cat__Origin_JFK,0.0011022262309650613
cat__Dest_MCO,0.0011005526010987214
cat__Reporting_Airline_UA,0.0010652562110326973
cat__Origin_SFO,0.0009198250158289808
cat__Origin_CLT,0.0008084481200588646
cat__Origin_MSP,0.00080636573136582
cat__Origin_PHX,0.0007119119496765562
cat__Origin_ORD,0.0007066520379455104
cat__Origin_LGA,0.0006642901001271372
cat__Dest_FLL,0.0006244043916539932
cat__Reporting_Airline_OH,0.0005292276091756009
cat__Reporting_Airline_AS,0.0004741940434618527
cat__Dest_SJU,0.0003870414303062557
cat__Origin_MIA,0.00037855041570083136
cat__Origin_BOS,0.0003688497603491596
cat__Origin_DFW,0.0003406963954905087
cat__Dest_DAL,0.0003303968848669407
cat__Dest_MDW,0.0003296089675346266
cat__Reporting_Airline_QX,0.00032236737654510006
cat__Origin_DCA,0.0003189438669718318
cat__Origin_IAH,0.0002839394386469244
cat__Reporting_Airline_G4,0.00024704796110276353
cat__Dest_PBI,0.00024323100115007356
cat__Dest_HOU,0.00022935720641530853
cat__Dest_EWR,0.00022689161441224085
cat__route_MCO_SJU,0.00019509729017929786
cat__route_DEN_MDW,0.0001907573807782936
cat__Dest_LGA,0.00019031162077603526
cat__Reporting_Airline_YV,0.0001864277036948769
cat__route_JFK_MCO,0.00017127203692949208
cat__route_JFK_FLL,0.00016878144928022653
cat__route_EWR_SFO,0.00016644248709045292
cat__Dest_JFK,0.00016397534420422436
cat__route_LAS_MDW,0.00015796530887710386
cat__route_JFK_SJU,0.00015305797358957296
cat__route_DEN_DAL,0.00014314009679894152
cat__Dest_LEX,0.0001422208803715833
cat__Dest_BQN,0.00013856250954918418
cat__Dest_OAK,0.00012804059791335587
cat__route_LGA_MCO,0.0001179057857938866
cat__Dest_ORD,0.00011649601322797689
cat__Dest_ATL,0.00011448125310482284
cat__Dest_BWI,0.00011443153117240062
cat__route_DEN_OAK,0.00011405062147659114
cat__route_MCO_JFK,0.00011392281907388479
cat__Dest_LAS,0.00010850294275442371
cat__Dest_MIA,0.0001078735541281478
cat__route_PHX_MDW,0.00010689324088091716
cat__Dest_TPA,0.00010673524153752075
cat__route_BOS_MCO,0.0001034414138278391
cat__Dest_MSP,9.959474224120842e-05
cat__route_JFK_BOS,9.647326789279663e-05
cat__Dest_CLT,9.378563791293759e-05
cat__route_DEN_PHX,9.132021319262394e-05
cat__Dest_SFO,9.125617072074228e-05
cat__route_EWR_MCO,8.841026657483847e-05
cat__route_SFO_JFK,8.830545006720715e-05
cat__route_MCO_LGA,8.517286364301494e-05
cat__route_JFK_ATL,8.495190551495492e-05
cat__Dest_PHL,8.463369778656681e-05
cat__Dest_LAX,8.345750683610149e-05
cat__route_MIA_JFK,8.329759713164459e-05
cat__route_ATL_JFK,8.118492368604097e-05
cat__route_DEN_LAS,8.041844431233416e-05
cat__Dest_BOS,7.994713342403832e-05
cat__route_EWR_LAX,7.983590264358131e-05
cat__Dest_OGG,7.95805618344518e-05
cat__route_DEN_BWI,7.61799838163979e-05
cat__route_MCO_BOS,7.386107458277406e-05
cat__Dest_SEA,6.698030634660561e-05
cat__route_MCO_ISP,6.602126730116411e-05
cat__route_DEN_MCO,6.600603986808484e-05
cat__Dest_SNA,6.538484592298054e-05
cat__Dest_DTW,6.402482409297761e-05
cat__route_LGA_BOS,6.374160472666337e-05
cat__Dest_DFW,6.317064369277267e-05
cat__route_SFO_LAX,6.163200506757441e-05
cat__Dest_DEN,6.147292778550298e-05
cat__route_SEA_MFR,6.0898696127512275e-05
cat__Dest_SLC,6.04807465394978e-05
cat__route_MCO_BQN,5.770841947858715e-05
cat__route_LAX_OGG,5.766660903460244e-05
cat__route_LGA_FLL,5.6680007008444016e-05
cat__route_MCO_BWI,5.583185085179258e-05
cat__route_LAX_JFK,5.486636629015499e-05
cat__Reporting_Airline_HA,5.473655088264605e-05
cat__route_JFK_PBI,5.470310776874683e-05
cat__Dest_DCA,5.348675988626333e-05
cat__route_MCO_EWR,5.213345711054738e-05
cat__route_DFW_MCO,5.1860259774399564e-05
cat__route_LAX_SFO,5.076544730347229e-05
cat__Dest_SMF,5.0291526463673136e-05
cat__Dest_CVG,5.019090836619148e-05
cat__route_LAS_HOU,4.978939888236159e-05
cat__Dest_GNV,4.864806577379776e-05
cat__route_LAS_MSP,4.771832312411861e-05
cat__Dest_PIT,4.769579374803154e-05
cat__Dest_BUR,4.7033084238941243e-05
cat__Dest_HNL,4.674173671707887e-05
cat__route_DEN_ONT,4.5574760736799185e-05
cat__route_BOS_SJU,4.528485300018387e-05
cat__route_EWR_PBI,4.526813285946829e-05
cat__Dest_ASE,4.511474964596621e-05
cat__route_ATL_GSO,4.2226199144405805e-05
cat__Dest_BNA,4.166851072399483e-05
cat__Dest_IAH,4.0324175142332754e-05
cat__Dest_SJC,4.0286850075613986e-05
cat__Dest_TLH,3.953548953956292e-05
cat__Dest_RSW,3.933314330102346e-05
cat__route_MIA_EWR,3.8289699580512625e-05
cat__route_ATL_SDF,3.770013273894888e-05
cat__route_MIA_LGA,3.761704059143286e-05
cat__route_LAS_BUR,3.747735806723418e-05
cat__Dest_STL,3.704788031792547e-05
cat__route_LAS_SMF,3.688535534578397e-05
cat__route_DFW_LAS,3.662189154541775e-05
cat__Dest_SAN,3.6586219169370835e-05
cat__route_MCO_LAS,3.6496190988538404e-05
cat__route_MCO_PHL,3.576186342811962e-05
cat__Dest_IAD,3.5169791012975845e-05
cat__route_ATL_GSP,3.449435935433755e-05
cat__route_LAS_STL,3.4437210497740416e-05
cat__route_EWR_FLL,3.426746780588696e-05
cat__Dest_ONT,3.4059140656575336e-05
cat__route_EWR_MIA,3.4040546260921296e-05
cat__Dest_PHX,3.374999563720643e-05
cat__route_JFK_MIA,3.371804316630027e-05
cat__route_BOS_DCA,3.3524079190228064e-05
cat__route_DEN_LGA,3.3454804495452835e-05
cat__route_JFK_SFO,3.3375675844682585e-05
cat__route_SFO_BOS,3.3336330035289334e-05
cat__route_LAS_SJC,3.307245114160085e-05
cat__Dest_MFR,3.294742861448078e-05
cat__route_DFW_ABI,3.2518578870406405e-05
cat__route_LGA_ATL,3.246392891403042e-05
cat__route_PHX_LAX,3.206039319609406e-05
cat__route_BOS_FLL,3.178565071131147e-05
cat__route_ATL_LGA,3.0764570442163726e-05
cat__Dest_PDX,3.06049054472512e-05
cat__route_ATL_LEX,2.997848303007149e-05
cat__route_MCO_DEN,2.975445334416168e-05
cat__route_SFO_EWR,2.966589007638295e-05
cat__route_BOS_RSW,2.966373651911943e-05
cat__route_DEN_PHL,2.9393928450166027e-05
cat__Dest_RDM,2.9332299132547244e-05
cat__route_LAX_SEA,2.8840409998965976e-05
cat__route_ATL_HPN,2.8069489585651637e-05
cat__route_LAS_FLL,2.8048999932062193e-05
cat__Dest_BDL,2.802983572672679e-05
cat__route_ATL_EWR,2.7946224934717804e-05
cat__Dest_ANC,2.7491219900372984e-05
cat__route_SEA_SAN,2.738523130783704e-05
cat__route_PHX_SEA,2.736913426470555e-05
cat__route_JFK_DCA,2.72548453713021e-05
cat__route_SEA_ANC,2.724837876039227e-05
cat__route_EWR_SAN,2.724177694179663e-05
cat__route_JFK_TPA,2.7140139888944755e-05
cat__Dest_CMH,2.7136101997601668e-05
cat__Dest_RDU,2.6671039465165944e-05
cat__Dest_GSP,2.6492041587805038e-05
cat__route_BOS_LGA,2.6014550822699967e-05
cat__route_LAS_SLC,2.5818451906491244e-05
cat__Dest_AEX,2.5538195785317587e-05
cat__route_DCA_FLL,2.5518917203548208e-05
cat__route_DFW_SJT,2.5308460409400982e-05
cat__Dest_LGB,2.499130196878474e-05
cat__Dest_ABI,2.496461889207579e-05
cat__route_EWR_BOS,2.494841683911886e-05
cat__route_EWR_SJU,2.48339000828011e-05
cat__route_LAS_DAL,2.4754669136560363e-05
cat__route_DEN_TPA,2.471548685734906e-05
cat__Dest_PSC,2.4638382073188246e-05
cat__route_LAX_EWR,2.447328910594758e-05
cat__route_CLT_ATL,2.445930439752611e-05
cat__route_LGA_MIA,2.4355575683392747e-05
cat__route_SFO_SNA,2.4340891602620802e-05
cat__route_DEN_SMF,2.433794629997232e-05
cat__Dest_CLE,2.4261167403001516e-05
cat__route_DEN_ASE,2.4239816818036372e-05
cat__Dest_MCI,2.4049438008233727e-05
cat__route_LAX_SMF,2.401303009532794e-05
cat__route_DEN_COS,2.3740700984978837e-05
cat__route_LAS_SFO,2.3613799613475408e-05
cat__route_PHX_DAL,2.343308212020507e-05
