feature,importance
num__airline_origin_delay_rate_prev_3h,0.20538623571157869
num__airline_delay_rate_prev_3h,0.17300175206818716
num__airline_delay_count_prev_3h,0.11211343547404438
num__airline_origin_delay_count_prev_3h,0.10632204424849895
num__dep_hour,0.08548345216931148
cat__time_of_day_bin_morning,0.05853174839496881
cat__Reporting_Airline_WN,0.022866276194014556
cat__time_of_day_bin_evening,0.02119343705516035
num__p01i,0.014475770878821426
num__airline_origin_flight_count_prev_3h,0.013448907736949848
num__tmpf,0.013298834898005586
num__alti,0.012275468191997712
num__airline_flight_count_prev_3h,0.012257911162538085
cat__Reporting_Airline_B6,0.011986920797944535
num__relh,0.009456766003181296
num__sknt,0.008537352759041767
cat__time_of_day_bin_night,0.006895290180598411
cat__Reporting_Airline_DL,0.006795438679599226
cat__Reporting_Airline_OO,0.006640401869902782
cat__Reporting_Airline_F9,0.006524551671387905
num__DayOfWeek,0.006431489967595937
cat__Origin_DEN,0.005402225085786729
num__vsby,0.005243842439616411
cat__time_of_day_bin_overnight,0.004426321165905053
cat__time_of_day_bin_afternoon,0.003986189729133733
cat__Reporting_Airline_MQ,0.003565947688018008
cat__Origin_MCO,0.0034064444277596135
cat__Reporting_Airline_9E,0.0031337802998925813
num__weather_report_age_minutes,0.0027727784141812835
cat__Origin_EWR,0.0025437013117281786
cat__Origin_LAS,0.0024406653957472256
cat__Origin_ATL,0.0021743927873205636
cat__Origin_LAX,0.002170357789730647
cat__Origin_SEA,0.00201901965158026
cat__Reporting_Airline_AA,0.0017636866632242862
cat__Origin_DTW,0.001662776381551879
cat__Origin_JFK,0.0015551740253293058
cat__Origin_SFO,0.0015341253861212926
num__is_weekend,0.0014379024645615633
cat__Reporting_Airline_YX,0.0012533774383668525
cat__Origin_MSP,0.0012451929654820181
cat__Reporting_Airline_NK,0.0011720630039671277
cat__Dest_MCO,0.001035825919181708
cat__Dest_SJU,0.0009541932729439087
cat__Origin_CLT,0.0008723140471087503
cat__Origin_ORD,0.0008227039148479751
cat__Origin_MIA,0.0008026770165686866
cat__Reporting_Airline_UA,0.0007356335694547919
cat__Dest_FLL,0.000719096867300251
cat__Origin_LGA,0.0006586889222328699
cat__Dest_MDW,0.0005899596348186273
cat__Origin_PHX,0.0005669175641100201
cat__Origin_DFW,0.0005085605589764629
cat__Reporting_Airline_QX,0.0005047940255604123
cat__Reporting_Airline_AS,0.0004652891983872898
cat__Reporting_Airline_OH,0.0004124906347127112
cat__Dest_DAL,0.0003178613173449467
cat__route_LGA_FLL,0.00029990182042702936
cat__Origin_BOS,0.0002856443662277337
cat__Origin_IAH,0.00027754073823355545
cat__route_JFK_MCO,0.00026151011528392456
cat__Dest_HOU,0.00024560861795542145
cat__Dest_PBI,0.00024378705039716488
cat__route_EWR_SFO,0.00024255289488075646
cat__Reporting_Airline_G4,0.00022826556502312617
cat__Dest_EWR,0.00022717268529898215
cat__Origin_DCA,0.00021245630708845148
cat__Dest_LGA,0.0002089331160740607
cat__route_MCO_SJU,0.00020323102421445754
cat__route_DEN_MDW,0.0001994343772805786
cat__route_JFK_FLL,0.00019529675181174518
cat__route_MCO_LGA,0.00018888887008610092
cat__route_DEN_PHX,0.00017962843730933738
cat__Reporting_Airline_YV,0.00017481557195541512
cat__route_DEN_LGA,0.00016523385940799774
cat__route_MCO_BWI,0.0001546585064772214
cat__Dest_MIA,0.00015092108013253468
cat__route_BOS_MCO,0.00013999014224917858
cat__Dest_TPA,0.00013839490985253857
cat__Dest_LEX,0.0001356065552262258
cat__Dest_ATL,0.00013297537464949195
cat__route_MCO_JFK,0.00013117345159032744
cat__route_JFK_SJU,0.00013089150097043628
cat__Dest_ORD,0.00012633594786640363
cat__Dest_JFK,0.00012272106087029912
cat__route_LAS_MDW,0.00012113836380721579
cat__route_DEN_ONT,0.00011360157245539756
cat__route_SFO_LAX,0.00011063574722486429
cat__Dest_MSP,0.00010966572264591381
cat__route_DEN_DAL,0.00010770989920281425
cat__route_DEN_BWI,0.00010610330544524863
cat__Dest_BWI,0.00010566202976448689
cat__Dest_LAS,0.00010548486011927544
cat__Dest_BQN,0.00010490629926989603
cat__Dest_ISP,0.0001033634188778946
cat__Dest_HNL,0.00010225642274891104
cat__route_JFK_ATL,0.0001017775955350998
cat__Dest_CLT,9.845865369355751e-05
cat__Dest_OAK,9.785141623002538e-05
cat__route_EWR_FLL,9.759171203655543e-05
cat__route_LGA_MCO,9.640935708147842e-05
cat__route_LAX_OGG,9.38606238063524e-05
cat__route_EWR_LAX,9.274832852339611e-05
cat__route_MCO_BQN,8.926044000159947e-05
cat__route_DEN_TPA,8.88740740745383e-05
cat__Dest_DFW,8.88615099928715e-05
cat__Dest_DTW,8.809573283631376e-05
cat__route_JFK_BOS,8.579385313628306e-05
cat__route_DEN_OAK,8.577055538639357e-05
cat__Dest_LAX,8.397254869707756e-05
cat__route_DEN_MCI,8.015979525661436e-05
cat__Dest_PHL,7.886971068301887e-05
cat__route_LAX_SMF,7.643627017762346e-05
cat__Dest_BOS,7.549936286339671e-05
cat__Dest_DCA,7.534950486070325e-05
cat__route_PHX_MDW,7.188344948035206e-05
cat__route_JFK_PBI,7.14498535306461e-05
cat__Dest_OGG,6.936260764350679e-05
cat__route_LAS_BUR,6.919033810760338e-05
cat__route_LAS_STL,6.808235000839331e-05
cat__route_SEA_GEG,6.79570341507606e-05
cat__route_DEN_MCO,6.60785826211684e-05
cat__route_MCO_LAS,6.602654881286652e-05
cat__Dest_ASE,6.380488138481398e-05
cat__route_DEN_BUR,6.377699161161063e-05
cat__route_LGA_BOS,6.377422103240259e-05
cat__route_SEA_MFR,6.283323387052601e-05
cat__Dest_SEA,6.108458690132731e-05
cat__Dest_DEN,5.8203037071126576e-05
cat__route_DEN_SMF,5.782943580014477e-05
cat__Dest_SLC,5.780244614585773e-05
cat__route_MCO_PHL,5.745570443190102e-05
cat__Dest_SNA,5.7433696259947596e-05
cat__route_MCO_DAL,5.673462048470198e-05
cat__route_LAX_ATL,5.660078416174769e-05
cat__route_MCO_EWR,5.6586929073869314e-05
cat__Dest_SFO,5.606566905879433e-05
cat__route_MIA_JFK,5.5716280932072086e-05
cat__route_EWR_MCO,5.5639703929920065e-05
cat__Dest_BUR,5.5442071146135324e-05
cat__route_MIA_EWR,5.390650432137629e-05
cat__route_SFO_JFK,5.3272656498943425e-05
cat__route_DEN_ATL,5.321398566779569e-05
cat__route_MCO_BOS,5.304599851241179e-05
cat__route_LAX_SEA,5.0508750164206515e-05
cat__route_SEA_SFO,5.002168565093556e-05
cat__route_LAS_FLL,4.8579766375910185e-05
cat__route_ATL_JFK,4.8481766570816656e-05
cat__route_BOS_SJU,4.8408989864019624e-05
cat__route_DEN_LAS,4.835274295251196e-05
cat__route_SFO_BOS,4.804296504446052e-05
cat__route_BOS_LGA,4.762291904530074e-05
cat__route_LAS_SMF,4.742692036000635e-05
cat__route_LAX_SFO,4.683863975457465e-05
cat__route_EWR_MIA,4.611534042904509e-05
cat__route_DEN_HOU,4.504328747422661e-05
cat__route_SFO_EWR,4.482122816487555e-05
cat__route_SEA_BOI,4.421138288912358e-05
cat__Dest_ANC,4.394663262120628e-05
cat__route_LAS_OAK,4.2915486637141904e-05
cat__Dest_IAD,4.284171655139155e-05
cat__route_LAS_MSP,4.26035325092356e-05
cat__route_ATL_CLT,4.2344834458737304e-05
cat__route_EWR_SJU,4.1969968091233416e-05
cat__Dest_RSW,4.130041195340993e-05
cat__route_BOS_ORD,4.0539914723671915e-05
cat__route_MCO_ATL,4.0219775104735105e-05
cat__Dest_MFR,3.948271482957884e-05
cat__Dest_BNA,3.901918839929402e-05
cat__route_LAS_BWI,3.825338216929246e-05
cat__route_JFK_MIA,3.813965707810905e-05
cat__route_ATL_GSP,3.801441836962084e-05
cat__route_SFO_SNA,3.7852732599395735e-05
cat__route_DCA_BOS,3.780390229895813e-05
cat__route_LGA_PBI,3.714920340506815e-05
cat__Dest_IAH,3.7025735589188226e-05
cat__Dest_PHX,3.6645533072986786e-05
cat__Dest_JAN,3.6512494948327446e-05
cat__Dest_GEG,3.604785488409699e-05
cat__Dest_SMF,3.584620569991374e-05
cat__Dest_SAN,3.517856580706133e-05
cat__route_BOS_FLL,3.474303347398592e-05
cat__route_LAX_JFK,3.469266586593264e-05
cat__route_LAS_SAN,3.46264944365362e-05
cat__Dest_STL,3.449159830723627e-05
cat__route_MIA_LGA,3.440741727650345e-05
cat__route_PHX_IAH,3.3969226466992484e-05
cat__route_DCA_FLL,3.3427234522437634e-05
cat__route_SEA_EUG,3.328601733099725e-05
cat__Dest_MSY,3.321749524805779e-05
cat__route_DCA_ORD,3.318192868504726e-05
cat__route_LAS_DAL,3.2937174074404806e-05
cat__route_LGA_MIA,3.2765281432462874e-05
cat__route_EWR_PBI,3.274062064447041e-05
cat__route_ATL_LGA,3.2592466864553916e-05
cat__Dest_ABE,3.241694904588233e-05
cat__Dest_RDU,3.190242688624809e-05
cat__route_LAS_MCO,3.127533350256008e-05
cat__route_BOS_PBI,3.126494249404476e-05
cat__Dest_PDX,3.09271956729027e-05
cat__route_DEN_RDU,3.0579570344759166e-05
cat__route_ATL_SDF,3.0097441975705407e-05
cat__Dest_AVL,3.0072636489422494e-05
cat__Dest_RIC,3.0042873385620914e-05
cat__Dest_SJC,2.966892164821559e-05
cat__route_LAX_EWR,2.8940361377254568e-05
cat__Dest_DAY,2.849662950629739e-05
cat__route_MCO_MDW,2.8310712331417937e-05
cat__Dest_AUS,2.8026993551312697e-05
cat__route_EWR_PDX,2.7990514190309164e-05
cat__Dest_CHA,2.789337963355792e-05
cat__route_SEA_SJC,2.760250192153399e-05
cat__Dest_CVG,2.7409102804332306e-05
cat__route_LAX_MCO,2.7029788614187866e-05
cat__Dest_RDM,2.6784468560150233e-05
cat__route_LGA_ORD,2.6527366996121486e-05
cat__Dest_BDL,2.6469761128647515e-05
cat__route_LAS_HOU,2.6436438770000394e-05
cat__route_JFK_SFO,2.636875923433715e-05
cat__route_EWR_ORD,2.634928841432701e-05
cat__Dest_PIT,2.5900970304249938e-05
cat__route_CLT_MCO,2.5509979788773337e-05
cat__route_DEN_SFO,2.510402029330252e-05
cat__route_ATL_TUL,2.499805452745337e-05
cat__route_DEN_PHL,2.4211429875006382e-05
cat__route_JFK_TPA,2.41505999354758e-05
cat__route_DEN_BNA,2.4086578944039643e-05
cat__Dest_MKE,2.4082171474606647e-05
cat__route_MCO_BDL,2.3940049386103068e-05
cat__Dest_GSP,2.3699141911224167e-05
cat__Dest_IND,2.3453246926273713e-05
cat__route_DTW_MCO,2.343866998784005e-05
