feature,importance
num__airline_delay_rate_prev_3h,0.1860257364943261
num__airline_origin_delay_rate_prev_3h,0.1845377564856855
num__airline_origin_delay_count_prev_3h,0.11489419454947973
num__airline_delay_count_prev_3h,0.11098977596609869
num__dep_hour,0.05388193435145041
cat__time_of_day_bin_morning,0.04618953432911529
cat__time_of_day_bin_evening,0.03169463612827116
cat__Reporting_Airline_WN,0.017840715479366588
num__bad_weather_flag,0.013597593400964829
num__airline_origin_flight_count_prev_3h,0.012342434799112248
cat__Reporting_Airline_B6,0.011916819345888932
num__p01i,0.011097099028482544
num__airline_flight_count_prev_3h,0.011087375507725424
num__tmpf,0.010991902459095308
num__weather_severity_score,0.010985645007061444
cat__time_of_day_bin_night,0.00927439618694323
num__alti,0.008422664810719656
num__sknt,0.008225835627441173
cat__Reporting_Airline_F9,0.008009696897985436
num__has_precip,0.007826690651689368
num__relh,0.006829442942092278
num__hot_temp,0.006670809600269131
cat__Reporting_Airline_DL,0.006097939715343271
num__DayOfWeek,0.006090733859514749
num__freezing_temp,0.005942810467514587
cat__Reporting_Airline_MQ,0.0057379966421859056
cat__Reporting_Airline_OO,0.005246663448544248
num__vsby,0.005128911973859461
cat__Origin_DEN,0.0041684409084707455
num__high_wind,0.0040370069676557785
cat__Origin_MCO,0.0038758003769740743
cat__time_of_day_bin_afternoon,0.0038340061247818568
cat__Reporting_Airline_9E,0.0032101470561786147
cat__Origin_EWR,0.0028872305157074457
num__precip_and_low_visibility,0.0028478284784967645
cat__Origin_ATL,0.0024489227611349256
cat__time_of_day_bin_overnight,0.0024282617522628546
cat__Origin_LAS,0.002181443417822047
num__low_pressure,0.002158369582025523
num__weather_report_age_minutes,0.002072639098010012
num__low_visibility,0.0018251237539230595
cat__Origin_SEA,0.0018084407377693956
num__is_weekend,0.0017405976495905478
cat__Origin_SFO,0.0017405415224622408
cat__Origin_MSP,0.0016003303157194127
cat__Origin_LAX,0.0012737232222582429
cat__Origin_DTW,0.0012386569109483219
cat__Reporting_Airline_AA,0.0012151143185026036
cat__Origin_JFK,0.0011997457094032444
cat__Reporting_Airline_NK,0.001114051611393883
